"YEAR"	"BAND"	"WEEK"	"DOY"	"NDVI"	"SITE"
1991	4	17	116	11092	"J01"
1991	5	18	123	11134	"J01"
1991	6	19	130	11559	"J01"
1991	7	20	137	12347	"J01"
1991	8	21	144	12865	"J01"
1991	9	22	151	13171	"J01"
1991	10	23	158	13423	"J01"
1991	11	24	165	13891	"J01"
1991	12	25	172	14240	"J01"
1991	13	26	179	14481	"J01"
1991	14	27	186	14722	"J01"
1991	15	28	193	15113	"J01"
1991	16	29	200	15187	"J01"
1991	17	30	207	14580	"J01"
1991	18	31	214	14476	"J01"
1991	19	32	221	14470	"J01"
1991	20	33	228	14581	"J01"
1991	21	34	235	14687	"J01"
1991	22	35	242	14654	"J01"
1991	23	36	249	14435	"J01"
1991	24	37	256	14262	"J01"
1991	25	38	263	14091	"J01"
1991	26	39	270	13934	"J01"
1991	27	40	277	13934	"J01"
1991	28	41	284	13934	"J01"
1992	1	15	102	10640	"J01"
1992	2	16	109	11446	"J01"
1992	3	17	116	11404	"J01"
1992	4	18	123	11364	"J01"
1992	5	19	130	11375	"J01"
1992	6	20	137	11566	"J01"
1992	7	21	144	11751	"J01"
1992	8	22	151	12109	"J01"
1992	9	23	158	12903	"J01"
1992	10	24	165	12739	"J01"
1992	11	25	172	12445	"J01"
1992	12	26	179	12976	"J01"
1992	13	27	186	13506	"J01"
1992	14	28	193	14104	"J01"
1992	15	29	200	14719	"J01"
1992	16	30	207	14687	"J01"
1992	17	31	214	14652	"J01"
1992	18	32	221	14609	"J01"
1992	19	33	228	14390	"J01"
1992	20	34	235	14178	"J01"
1992	21	35	242	13858	"J01"
1992	22	36	249	12860	"J01"
1992	23	37	256	12478	"J01"
1992	24	38	263	12625	"J01"
1992	25	39	270	13451	"J01"
1992	26	40	277	12791	"J01"
1992	27	41	284	11726	"J01"
1992	28	42	291	10662	"J01"
1993	1	14	95	11589	"J01"
1993	2	15	102	11797	"J01"
1993	3	16	109	11088	"J01"
1993	4	17	116	10654	"J01"
1993	5	18	123	10606	"J01"
1993	6	19	130	11090	"J01"
1993	7	20	137	11559	"J01"
1993	8	21	144	12099	"J01"
1993	9	22	151	13108	"J01"
1993	10	23	158	13788	"J01"
1993	11	24	165	14237	"J01"
1993	12	25	172	14506	"J01"
1993	13	26	179	14775	"J01"
1993	14	27	186	14975	"J01"
1993	15	28	193	15050	"J01"
1993	16	29	200	14938	"J01"
1993	17	30	207	14933	"J01"
1993	18	31	214	15057	"J01"
1993	19	32	221	15197	"J01"
1993	20	33	228	15026	"J01"
1993	21	34	235	14544	"J01"
1993	22	35	242	14019	"J01"
1993	23	36	249	13547	"J01"
1993	24	37	256	13119	"J01"
1993	25	38	263	12600	"J01"
1993	26	39	270	11651	"J01"
1993	27	40	277	10559	"J01"
1993	28	41	284	9821	"J01"
1994	1	14	95	11092	"J01"
1994	2	15	102	10614	"J01"
1994	3	16	109	10833	"J01"
1994	4	17	116	11242	"J01"
1994	5	18	123	11651	"J01"
1994	6	19	130	12033	"J01"
1994	7	20	137	12342	"J01"
1994	8	21	144	12581	"J01"
1994	9	22	151	12820	"J01"
1994	10	23	158	13020	"J01"
1994	11	24	165	13217	"J01"
1994	12	25	172	13889	"J01"
