"YEAR"	"BAND"	"WEEK"	"DOY"	"NDVI"	"SITE"
1996	19	32	221	14936	"MS"
1996	20	33	228	14997	"MS"
1996	21	34	235	14834	"MS"
1996	22	35	242	14654	"MS"
1996	23	36	249	14474	"MS"
1996	24	37	256	14293	"MS"
1996	25	38	263	14199	"MS"
1996	26	39	270	14062	"MS"
1996	27	40	277	12214	"MS"
1996	28	41	284	11230	"MS"
1997	1	15	102	11041	"MS"
1997	2	16	109	11043	"MS"
1997	3	17	116	10966	"MS"
1997	4	18	123	10694	"MS"
1997	5	19	130	10463	"MS"
1997	6	20	137	10407	"MS"
1997	7	21	144	11081	"MS"
1997	8	22	151	11812	"MS"
1997	9	23	158	12356	"MS"
1997	10	24	165	13277	"MS"
1997	11	25	172	14012	"MS"
1997	12	26	179	14710	"MS"
1997	13	27	186	14908	"MS"
1997	14	28	193	15106	"MS"
1997	15	29	200	15191	"MS"
1997	16	30	207	14883	"MS"
1997	17	31	214	14962	"MS"
1997	18	32	221	15159	"MS"
1997	19	33	228	15385	"MS"
1997	20	34	235	15108	"MS"
1997	21	35	242	14768	"MS"
1997	22	36	249	14610	"MS"
1997	23	37	256	14239	"MS"
1997	24	38	263	13811	"MS"
1997	25	39	270	13382	"MS"
1997	26	40	277	13205	"MS"
1997	27	41	284	13046	"MS"
1997	28	42	291	13126	"MS"
1998	1	15	102	10699	"MS"
1998	2	16	109	11151	"MS"
1998	3	17	116	11132	"MS"
1998	4	18	123	11114	"MS"
1998	5	19	130	11286	"MS"
1998	6	20	137	12150	"MS"
1998	7	21	144	13447	"MS"
1998	8	22	151	14460	"MS"
1998	9	23	158	14469	"MS"
1998	10	24	165	14593	"MS"
1998	11	25	172	14845	"MS"
1998	12	26	179	15055	"MS"
1998	13	27	186	15079	"MS"
1998	14	28	193	14943	"MS"
1998	15	29	200	14678	"MS"
1998	16	30	207	14635	"MS"
1998	17	31	214	14589	"MS"
1998	18	32	221	14541	"MS"
1998	19	33	228	14364	"MS"
1998	20	34	235	14194	"MS"
1998	21	35	242	14036	"MS"
1998	22	36	249	13930	"MS"
1998	23	37	256	13820	"MS"
1998	24	38	263	13637	"MS"
1998	25	39	270	13194	"MS"
1998	26	40	277	12750	"MS"
1998	27	41	284	12436	"MS"
1998	28	42	291	12354	"MS"
1999	1	14	95	10826	"MS"
1999	2	15	102	10587	"MS"
1999	3	16	109	10571	"MS"
1999	4	17	116	10574	"MS"
1999	5	18	123	10615	"MS"
1999	6	19	130	11161	"MS"
1999	7	20	137	12213	"MS"
1999	8	21	144	13456	"MS"
1999	9	22	151	14162	"MS"
1999	10	23	158	14345	"MS"
1999	11	24	165	14184	"MS"
1999	12	25	172	13830	"MS"
1999	13	26	179	13571	"MS"
1999	14	27	186	13642	"MS"
1999	15	28	193	14255	"MS"
1999	16	29	200	14841	"MS"
1999	17	30	207	15125	"MS"
1999	18	31	214	15034	"MS"
1999	19	32	221	14930	"MS"
1999	20	33	228	14790	"MS"
1999	21	34	235	14613	"MS"
1999	22	35	242	14239	"MS"
1999	23	36	249	13857	"MS"
1999	24	37	256	13476	"MS"
1999	25	38	263	13230	"MS"
1999	26	39	270	12588	"MS"
1999	27	40	277	11725	"MS"
1999	28	41	284	10861	"MS"
2000	1	14	95	10041	"MS"
2000	2	15	102	10719	"MS"
2000	3	16	109	10654	"MS"
2000	4	17	116	10311	"MS"
2000	5	18	123	10463	"MS"
2000	6	19	130	10615	"MS"
2000	7	20	137	10784	"MS"
2000	8	21	144	10982	"MS"
2000	9	22	151	11181	"MS"
2000	10	23	158	11747	"MS"
2000	11	24	165	12975	"MS"
2000	12	25	172	13349	"MS"
2000	13	26	179	13722	"MS"
2000	14	27	186	14142	"MS"
2000	15	28	193	14352	"MS"
2000	16	29	200	14556	"MS"
2000	17	30	207	14504	"MS"
2000	18	31	214	13533	"MS"
2000	19	32	221	13147	"MS"
2000	20	33	228	13129	"MS"
2000	21	34	235	13111	"MS"
2000	22	35	242	13389	"MS"
2000	23	36	249	13379	"MS"
2000	24	37	256	11879	"MS"
2000	25	38	263	11947	"MS"
2000	26	39	270	12443	"MS"
2000	27	40	277	12939	"MS"
2000	28	41	284	11321	"MS"
2001	1	14	95	10305	"MS"
2001	2	15	102	10082	"MS"
2001	3	16	109	10098	"MS"
2001	4	17	116	10370	"MS"
2001	5	18	123	10642	"MS"
2001	6	19	130	11507	"MS"
2001	7	20	137	12544	"MS"
2001	8	21	144	13005	"MS"
2001	9	22	151	13467	"MS"
2001	10	23	158	13930	"MS"
2001	11	24	165	14402	"MS"
2001	12	25	172	15026	"MS"
2001	13	26	179	15420	"MS"
2001	14	27	186	15325	"MS"
2001	15	28	193	15231	"MS"
2001	16	29	200	15154	"MS"
2001	17	30	207	15111	"MS"
2001	18	31	214	15323	"MS"
2001	19	32	221	14956	"MS"
2001	20	33	228	14036	"MS"
2001	21	34	235	13654	"MS"
2001	22	35	242	13602	"MS"
2001	23	36	249	13797	"MS"
2001	24	37	256	14002	"MS"
2001	25	38	263	13859	"MS"
2001	26	39	270	13595	"MS"
2001	27	40	277	13595	"MS"
2001	28	41	284	13595	"MS"
2002	1	14	95	10141	"MS"
2002	2	15	102	10465	"MS"
2002	3	16	109	10500	"MS"
2002	4	17	116	9853	"MS"
2002	5	18	123	9836	"MS"
2002	6	19	130	9868	"MS"
2002	7	20	137	9939	"MS"
2002	8	21	144	10520	"MS"
2002	9	22	151	11154	"MS"
2002	10	23	158	12055	"MS"
2002	11	24	165	13167	"MS"
2002	12	25	172	13786	"MS"
2002	13	26	179	13995	"MS"
2002	14	27	186	14082	"MS"
2002	15	28	193	14169	"MS"
2002	16	29	200	14479	"MS"
2002	17	30	207	15235	"MS"
2002	18	31	214	14285	"MS"
2002	19	32	221	13752	"MS"
2002	20	33	228	14368	"MS"
2002	21	34	235	14958	"MS"
2002	22	35	242	15088	"MS"
2002	23	36	249	14607	"MS"
2002	24	37	256	14522	"MS"
2002	25	38	263	14321	"MS"
2002	26	39	270	13941	"MS"
2002	27	40	277	13115	"MS"
2002	28	41	284	12290	"MS"
2003	1	15	102	9998	"MS"
2003	2	16	109	10747	"MS"
2003	3	17	116	10618	"MS"
2003	4	18	123	10778	"MS"
2003	5	19	130	11011	"MS"
2003	6	20	137	11243	"MS"
2003	7	21	144	11870	"MS"
2003	8	22	151	12768	"MS"
2003	9	23	158	13677	"MS"
2003	10	24	165	14354	"MS"
2003	11	25	172	14631	"MS"
2003	12	26	179	14885	"MS"
2003	13	27	186	15138	"MS"
2003	14	28	193	14884	"MS"
2003	15	29	200	14280	"MS"
2003	16	30	207	13473	"MS"
2003	17	31	214	13759	"MS"
2003	18	32	221	14373	"MS"
2003	19	33	228	15076	"MS"
2003	20	34	235	15105	"MS"
2003	21	35	242	14994	"MS"
2003	22	36	249	14990	"MS"
2003	23	37	256	14441	"MS"
2003	24	38	263	13742	"MS"
2003	25	39	270	13044	"MS"
2003	26	40	277	12802	"MS"
2003	27	41	284	12595	"MS"
2003	28	42	291	12699	"MS"
2004	1	15	102	9175	"MS"
2004	2	16	109	9765	"MS"
2004	3	17	116	9786	"MS"
2004	4	18	123	9763	"MS"
2004	5	19	130	9746	"MS"
2004	6	20	137	9799	"MS"
2004	7	21	144	9850	"MS"
2004	8	22	151	9893	"MS"
2004	9	23	158	9899	"MS"
2004	10	24	165	11175	"MS"
2004	11	25	172	12801	"MS"
2004	12	26	179	13115	"MS"
2004	13	27	186	13623	"MS"
2004	14	28	193	14022	"MS"
2004	15	29	200	14132	"MS"
2004	16	30	207	13988	"MS"
2004	17	31	214	13813	"MS"
2004	18	32	221	13662	"MS"
2004	19	33	228	13927	"MS"
2004	20	34	235	14218	"MS"
2004	21	35	242	14502	"MS"
2004	22	36	249	14802	"MS"
2004	23	37	256	14934	"MS"
2004	24	38	263	14876	"MS"
2004	25	39	270	14567	"MS"
2004	26	40	277	14258	"MS"
2004	27	41	284	13830	"MS"
2004	28	42	291	12962	"MS"
2005	1	14	95	9645	"MS"
2005	2	15	102	9403	"MS"
2005	3	16	109	9750	"MS"
2005	4	17	116	10260	"MS"
2005	5	18	123	10769	"MS"
2005	6	19	130	11506	"MS"
2005	7	20	137	12242	"MS"
2005	8	21	144	12960	"MS"
2005	9	22	151	14331	"MS"
2005	10	23	158	15027	"MS"
2005	11	24	165	15047	"MS"
2005	12	25	172	15067	"MS"
2005	13	26	179	15306	"MS"
2005	14	27	186	15570	"MS"
2005	15	28	193	15481	"MS"
2005	16	29	200	15576	"MS"
2005	17	30	207	15730	"MS"
2005	18	31	214	15865	"MS"
2005	19	32	221	15760	"MS"
2005	20	33	228	15591	"MS"
2005	21	34	235	15427	"MS"
2005	22	35	242	15298	"MS"
2005	23	36	249	15173	"MS"
2005	24	37	256	15044	"MS"
2005	25	38	263	14528	"MS"
2005	26	39	270	14267	"MS"
2005	27	40	277	14291	"MS"
2005	28	41	284	14315	"MS"
2006	1	14	95	10412	"MS"
2006	2	15	102	10484	"MS"
2006	3	16	109	10732	"MS"
2006	4	17	116	11021	"MS"
2006	5	18	123	11095	"MS"
2006	6	19	130	11170	"MS"
2006	7	20	137	11816	"MS"
2006	8	21	144	13489	"MS"
2006	9	22	151	14085	"MS"
2006	10	23	158	14531	"MS"
2006	11	24	165	15034	"MS"
2006	12	25	172	15536	"MS"
2006	13	26	179	15775	"MS"
2006	14	27	186	15744	"MS"
2006	15	28	193	15642	"MS"
2006	16	29	200	15492	"MS"
2006	17	30	207	15351	"MS"
2006	18	31	214	15398	"MS"
2006	19	32	221	15451	"MS"
2006	20	33	228	15446	"MS"
2006	21	34	235	15223	"MS"
2006	22	35	242	15001	"MS"
2006	23	36	249	14762	"MS"
2006	24	37	256	14459	"MS"
2006	25	38	263	14205	"MS"
2006	26	39	270	13965	"MS"
2006	27	40	277	13725	"MS"
2006	28	41	284	12014	"MS"
2007	1	14	95	11096	"MS"
2007	2	15	102	11157	"MS"
2007	3	16	109	11218	"MS"
2007	4	17	116	11274	"MS"
2007	5	18	123	11330	"MS"
